Dataset,Dataset name,Modification,Species,Setting,Dataset group,Total samples,Positive samples,Negative samples,Other average MCC,MOSAIC MCC,Other average AUROC,MOSAIC AUROC,Other average AUPRC,MOSAIC AUPRC
5mC / H.sapiens,H. sapiens promoter BERT5mC,5mC,Homo sapiens,"Same species, unseen methylation type",OOD benchmark dataset,178665,13950,164715,0.1256421240707785,0.2788031565516385,0.6816190126162307,0.8063561017797984,0.1440336831937174,0.1932985406808088
6mA / O.sativa (Chen),O.sativa_Rice_Chen,6mA,Oryza sativa,"Same methylation type, unseen species",OOD benchmark dataset,1760,880,880,0.3334900030694787,0.5525939302172915,0.7106344696969696,0.8465909090909092,0.7108807289838256,0.8502655957181693
4mC / E.coli (Li),E.coli_Li2020,4mC,Escherichia coli,"Same methylation type, unseen species",OOD benchmark dataset,252,126,126,0.243726776965366,0.5321937427120916,0.6994310069706895,0.8440413202317965,0.7034710515397603,0.8191045772603139
4mC / E.coli (Zhao),4mC_E.coli,4mC,Escherichia coli,"Same methylation type, unseen species",Expanded OOD benchmark dataset,776,388,388,0.1381251696956121,0.391051323736343,0.5934710117972154,0.7817116590498459,0.5815119067768774,0.7346778437968798
4mC / G.pickeringii,4mC_G.pickeringii,4mC,Geobacter pickeringii,"Same methylation type, unseen species",Expanded OOD benchmark dataset,1138,569,569,-0.0992191852762057,0.238083608480822,0.4163245933471501,0.6661333514536958,0.4856705797202496,0.6479300446377534
6mA / O.sativa (Lv),6mA_O.sativa_Lv,6mA,Oryza sativa,"Same methylation type, unseen species",Expanded OOD benchmark dataset,307236,153618,153618,0.3286452111960138,0.5146092148022324,0.7096995133489683,0.8305487544805497,0.6842360389298952,0.7961741095032367
